Substrate_Concentration_mM,Velocity_umol_per_min,Replicate,Temperature_C,pH,Enzyme_Concentration_ug_per_mL
0.5,2.1,1,37,7.0,10
0.5,2.0,2,37,7.0,10
0.5,2.2,3,37,7.0,10
1.0,3.8,1,37,7.0,10
1.0,3.9,2,37,7.0,10
1.0,3.7,3,37,7.0,10
2.0,5.9,1,37,7.0,10
2.0,6.0,2,37,7.0,10
2.0,5.8,3,37,7.0,10
5.0,8.3,1,37,7.0,10
5.0,8.4,2,37,7.0,10
5.0,8.2,3,37,7.0,10
10.0,9.5,1,37,7.0,10
10.0,9.6,2,37,7.0,10
10.0,9.4,3,37,7.0,10
20.0,9.9,1,37,7.0,10
20.0,10.0,2,37,7.0,10
20.0,9.8,3,37,7.0,10
50.0,10.1,1,37,7.0,10
50.0,10.2,2,37,7.0,10
50.0,10.0,3,37,7.0,10
