Year,Month,Chital_Count,Tiger_Count,Habitat_Quality_Index,Rainfall_mm,Poaching_Incidents,Tourist_Visits
2018,1,1024,48,0.82,45,2,1250
2018,4,1089,46,0.85,180,1,2340
2018,7,1156,44,0.78,420,0,890
2018,10,1098,47,0.81,95,1,1780
2019,1,1045,49,0.83,52,1,1320
2019,4,1123,47,0.86,165,0,2450
2019,7,1187,45,0.79,395,1,920
2019,10,1134,48,0.82,88,0,1850
2020,1,1078,50,0.84,48,0,980
2020,4,1156,48,0.87,172,0,450
2020,7,1224,46,0.80,410,0,120
2020,10,1167,49,0.83,92,0,680
2021,1,1112,51,0.85,55,1,1420
2021,4,1189,49,0.88,168,0,2680
2021,7,1261,47,0.81,425,0,1050
2021,10,1203,50,0.84,89,0,1920
2022,1,1145,52,0.86,51,0,1580
2022,4,1223,50,0.89,175,0,2890
2022,7,1299,48,0.82,415,1,1180
2022,10,1238,51,0.85,94,0,2050
2023,1,1179,53,0.87,49,0,1720
2023,4,1258,51,0.90,170,0,3120
2023,7,1336,49,0.83,408,0,1290
2023,10,1273,52,0.86,91,0,2180
